name,bus0,bus1,area,carrier,technology,qualifier,aggregation,p_nom,p_nom_extendable,p_nom_min,p_nom_max,efficiency,variable_cost,marginal_cost,fixed_cost,investment_cost,annual_investment_cost,capital_cost,p_min_pu,p_max_pu,p_set,build_year,lifetime
PL hard coal CHP industrial 2023,PL electricity,PL hard coal,PL,hard coal CHP,hard coal CHP,industrial,hard coal power,1030.0,False,1030.0,1030.0,3.7037037037037033,-20.0,-20.0,210000.0,0.0,0.0,210000.0,-1.0,-0.0,0.0,2023,1.0
PL hard coal CHP public 2023,PL electricity,PL hard coal,PL,hard coal CHP,hard coal CHP,public,hard coal power,4120.0,False,4120.0,4120.0,3.7037037037037033,-20.0,-20.0,210000.0,0.0,0.0,210000.0,-1.0,-0.0,0.0,2023,1.0
PL hard coal power SC new,PL electricity,PL hard coal,PL,hard coal power,hard coal power SC,,hard coal power,0.0,False,0.0,0.0,2.3255813953488373,-20.0,-20.0,210000.0,13000000.0,746562.323508661,956562.323508661,-1.0,-0.0,,2023,25.0
PL hard coal power SC public 2023,PL electricity,PL hard coal,PL,hard coal power,hard coal power SC,public,hard coal power,4050.0,False,4050.0,4050.0,2.3255813953488373,-20.0,-20.0,210000.0,0.0,0.0,210000.0,-1.0,-0.25,,2023,1.0
PL hard coal power old public 2023,PL electricity,PL hard coal,PL,hard coal power,hard coal power old,public,hard coal power,11300.0,False,11300.0,11300.0,3.0303030303030303,-20.0,-20.0,210000.0,0.0,0.0,210000.0,-1.0,-0.25,,2023,1.0
PL hydro PSH power 2023,PL electricity,PL hydro PSH electricity,PL,hydro PSH power,hydro PSH power,,hydro PSH,1790.0,False,1790.0,1790.0,1.0,-10.0,-10.0,51000.0,0.0,0.0,51000.0,-1.0,-0.0,,2023,1.0
PL hydro PSH pump 2023,PL hydro PSH electricity,PL electricity,PL,hydro PSH pump,hydro PSH pump,,hydro PSH,1130.0,False,1130.0,1130.0,1.4285714285714286,-0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,-0.0,,2023,1.0
PL lignite power SC new,PL electricity,PL lignite,PL,lignite power,lignite power SC,,lignite power,0.0,False,0.0,0.0,2.5,-20.0,-20.0,210000.0,13000000.0,746562.323508661,956562.323508661,-1.0,-0.0,,2023,25.0
PL lignite power SC public 2023,PL electricity,PL lignite,PL,lignite power,lignite power SC,public,lignite power,1710.0,False,1710.0,1710.0,2.5,-20.0,-20.0,210000.0,0.0,0.0,210000.0,-1.0,-0.25,,2023,1.0
PL lignite power old public 2023,PL electricity,PL lignite,PL,lignite power,lignite power old,public,lignite power,5930.0,False,5930.0,5930.0,3.0303030303030303,-20.0,-20.0,210000.0,0.0,0.0,210000.0,-1.0,-0.25,,2023,1.0
PL natural gas CHP old industrial 2023,PL electricity,PL natural gas,PL,natural gas CHP,natural gas CHP old,industrial,natural gas CHP,1510.0,False,1510.0,1510.0,2.0833333333333335,-28.0,-28.0,190000.0,0.0,0.0,190000.0,-1.0,-0.0,0.0,2023,1.0
PL natural gas CHP old public 2023,PL electricity,PL natural gas,PL,natural gas CHP,natural gas CHP old,public,natural gas CHP,2440.0,False,2440.0,2440.0,2.0833333333333335,-28.0,-28.0,190000.0,0.0,0.0,190000.0,-1.0,-0.0,0.0,2023,1.0
PL natural gas power CCGT new,PL electricity,PL natural gas,PL,natural gas power,natural gas power CCGT,,natural gas power,0.0,True,0.0,inf,1.7857142857142856,-28.0,-28.0,190000.0,5600000.0,321596.0778191155,511596.0778191155,-1.0,-0.0,,2023,25.0
PL natural gas power peaker new,PL electricity,PL natural gas,PL,natural gas power,natural gas power peaker,,natural gas power,0.0,True,0.0,inf,2.3255813953488373,-33.0,-33.0,46000.0,3000000.0,172283.6131173833,218283.6131173833,-1.0,-0.0,,2023,25.0
PL other CHP industrial 2023,PL electricity,PL other fuel,PL,other CHP,other CHP,industrial,other CHP,550.0,False,550.0,550.0,2.941176470588235,-97.0,-97.0,860000.0,0.0,0.0,860000.0,-1.0,-0.0,0.0,2023,1.0
