,PL solar PV ground 2023,PL solar PV ground new,PL solar PV roof 2023,PL wind offshore new,PL wind onshore 2023,PL wind onshore new,PL wind onshore old 2023
601,0.0,0.0,0.0,0.0008891300621443616,0.04018819997625869,0.04018819997625869,0.033910795611754155
602,0.0,0.0,0.0,0.00044400848300712287,0.0333255225205468,0.0333255225205468,0.02809190506680637
603,0.0,0.0,0.0,0.0026807473399944755,0.025305086918998725,0.025305086918998725,0.021306134074981564
604,0.0,0.0,0.0,0.009091657924864473,0.026451785097454,0.026451785097454,0.022275336437949
605,0.0,0.0,0.0,0.02506629606667718,0.04247330135763355,0.04247330135763355,0.03585094177475683
606,0.0,0.0,0.0,0.06823294889792204,0.07546917540596566,0.07546917540596566,0.06401205284059135
607,0.031196864033069427,0.031196864033069427,0.016565888777521864,0.12038638926499508,0.10258071289579827,0.10258071289579827,0.08735882044715514
608,0.15651531915174752,0.15651531915174752,0.0841249084232543,0.19016641369689474,0.10145459854552416,0.10145459854552416,0.08638529674035277
609,0.23033885045018906,0.23033885045018906,0.12594625095508405,0.32462489803658057,0.0890470640856438,0.0890470640856438,0.07568079281169242
610,0.2609377750927366,0.2609377750927366,0.1434729425965426,0.48322333189590744,0.12615814612752718,0.12615814612752718,0.10781771725158512
611,0.2747729787276213,0.2747729787276213,0.1508139649768482,0.6610666691133531,0.16847767783240933,0.16847767783240933,0.14491088002294047
612,0.25501151342854333,0.25501151342854333,0.13688525200596857,0.7069555320062116,0.19277569327711197,0.19277569327711197,0.166428437457488
613,0.2066835849483912,0.2066835849483912,0.10927140038575503,0.7056254990036324,0.21364068027671984,0.21364068027671984,0.18503690435674208
614,0.15258625729758696,0.15258625729758696,0.08126856637646013,0.6818752443954537,0.22239275805862252,0.22239275805862252,0.192879014062594
615,0.07124544763629394,0.07124544763629394,0.04165762154423809,0.7109523095907305,0.22566971807511974,0.22566971807511974,0.1958208694138299
616,0.004871009767707916,0.004871009767707916,0.0034405437443720656,0.7487386507667091,0.24418693054486088,0.24418693054486088,0.21250234767459364
617,0.0,0.0,0.0,0.7832138815743205,0.26693855287881435,0.26693855287881435,0.23313461421377446
618,0.0,0.0,0.0,0.821228524329882,0.28310676193342416,0.28310676193342416,0.2478893618267246
619,0.0,0.0,0.0,0.8775711185851525,0.29384716530531363,0.29384716530531363,0.2577339224440053
620,0.0,0.0,0.0,0.901175791346104,0.3024173680680634,0.3024173680680634,0.2656142147700107
621,0.0,0.0,0.0,0.913084984955071,0.306695096137851,0.306695096137851,0.2695559088770736
622,0.0,0.0,0.0,0.9115924399174946,0.30562612495237834,0.30562612495237834,0.2685703886038041
623,0.0,0.0,0.0,0.8922906461768437,0.29384716530531363,0.29384716530531363,0.2577339224440053
