,PL battery large storage 2023,PL hydro PSH storage 2023
248,28.152450999526028,152.30409565715712
249,31.583698767208574,164.27880049004284
250,38.5301878488494,191.40374245782675
251,44.065983430632045,535.321369995386
252,0.00012789522881938325,0.00017545613433575053
253,-0.011681449292589394,-0.008775079817311338
254,-0.005685911177872325,-0.0048255800132324615
255,-0.003854129398758106,-0.00322746654051678
256,-0.0029800125532337884,-0.002487521444189803
257,-0.0024312491295425146,-0.0020470941767941784
258,-0.002036141685252559,-0.0015972391656490616
259,-0.0016782748438794,-0.0012378087292020542
260,-0.0015089487520344698,-0.0011355911464595336
261,-0.0013212058555494574,-0.0010623032007934848
262,-54.43740402680877,-229.12902358083534
263,-39.38673038863597,-663.3652367129033
264,-31.616370053634657,-547.672055574133
265,-27.803144126487464,-484.82864049764413
266,-25.547503043328593,-446.59306445202543
267,-24.098884360606398,-421.89486383835134
268,-23.151006469152012,-406.36883799868957
269,-22.548158360427394,-398.1577519384426
270,-21.963884944389374,-299.8715307932905
271,-21.969374482336434,-331.8653400400222
272,-22.181728936915615,-364.47570831145356
273,-22.580566225422253,-398.81279331410013
274,-23.14521857718137,-421.1984159998046
275,-23.922142169779832,-432.31252819649853
276,-25.053482868545483,-451.320373296614
277,-26.683843114048084,-475.96699101917244
278,-29.202830287265733,-461.43998558601135
279,-33.32527782342276,-557.4197127250561
280,-41.749713526435194,-588.9419233301354
281,-59.599509912391426,-88.33877326920667
282,33.834966487028574,70.95201071520157
283,49.561641291172315,1508.2328092881824
284,150.00133397821824,1789.9998565482074
285,38.62652792672417,1555.7104754132415
286,31.936092644735457,469.8019237982213
287,29.105804457504853,123.04651158331082
288,26.32689744078616,101.08576149583828
289,26.78615657001978,98.99151316358943
290,28.305992199764113,110.6318622833282
291,28.46329583839847,90.85962864719824
292,29.27248215510087,87.88314121379418
293,53.11193983085204,1141.8970065723627
294,74.6666737550072,1320.9072451852546
295,0.00014220173002421396,0.0001946944524846966
296,-0.004302004631898584,-788.3976649709464
297,-123.13719925075642,-1129.9977783511044
298,-122.62585594293022,-1129.9977887065786
299,-110.25828714948368,-1129.9977881041732
300,-122.34720647213754,-1129.9977872071606
301,-121.61494415208877,-1129.9977737678628
302,-0.0020746873880781074,-1006.9128663547577
303,-0.003032334832482917,-698.622082461263
304,-0.0070336948285676885,-141.81162205605102
305,149.99604370765223,1789.9999476137016
306,150.00135744256625,1789.9999646175297
307,150.00135723381493,1789.9999646504666
308,150.00118152628073,1789.999957481522
309,-0.0006892645563490681,1125.726536199154
310,-0.009922978653513255,-0.005882971127921575
311,-0.005039635456706473,-0.003576137563628831
312,-0.003520139788480839,-0.0028355358747625403
313,-0.0027307260997043543,-0.002282819742716148
314,-0.0022178200296484028,-0.001870267521585714
315,-0.0018484556973077384,-0.0016202157247877107
316,-0.0015717735898745895,-0.0014113347036969937
317,-0.0013057469849202844,-0.0011450584685913027
318,-0.0011007143626533115,-0.0010192599596629834
319,-14.288721043398022,-637.3107843505979
320,-6.90785937237219,-827.5533331337256
321,-4.945877636165478,-908.0726181695762
322,-140.00021853662287,-1129.9990765064363
323,-140.00021290796542,-1129.999077221406
324,-140.0002155244339,-1129.999079403477
325,-140.00022637102893,-1129.9990831322798
326,-5.372224320119267,-1049.3749106351963
327,-8.454447713267774,-527.6635489608675
328,42.44748198952271,81.80568146308651
329,57.5517001280305,1557.1878268577962
330,150.00133555216195,1789.9998594603444
331,150.0013348039771,1789.9998584728714
