,PL biogas CHP industrial 2023,PL biogas CHP public 2023,PL biogas production industrial 2023,PL biomass wood CHP industrial 2023,PL biomass wood CHP public 2023,PL hard coal CHP industrial 2023,PL hard coal CHP public 2023,PL natural gas CHP old industrial 2023,PL natural gas CHP old public 2023,PL other CHP industrial 2023
122,-33.6,-118.64160000000003,-86.39999999999999,-130.0,-141.54816000000002,-298.7,-1523.5430400000002,-785.2,-1027.6108800000002,-275.0
123,-33.6,-122.43000000000002,-86.39999999999999,-130.0,-146.068,-298.7,-1572.1920000000002,-785.2,-1060.424,-275.0
124,-33.6,-132.50160000000002,-86.39999999999999,-130.0,-158.08416000000003,-298.7,-1701.52704,-785.2,-1147.65888,-275.0
125,-33.6,-153.19920000000002,-86.39999999999999,-130.0,-182.77792000000002,-298.7,-1967.3164800000002,-785.2,-1326.93056,-275.0
126,-33.6,-162.62400000000002,-86.39999999999999,-130.0,-194.02240000000003,-298.7,-2088.3456,-785.2,-1408.5632,-275.0
127,-33.6,-160.12920000000003,-86.39999999999999,-130.0,-191.04592000000002,-298.7,-2056.30848,-785.2,-1386.9545600000001,-275.0
128,-33.6,-156.43320000000003,-86.39999999999999,-130.0,-186.63632,-298.7,-2008.84608,-785.2,-1354.94176,-275.0
129,-33.6,-151.90560000000002,-86.39999999999999,-130.0,-181.23456000000002,-298.7,-1950.70464,-785.2,-1315.72608,-275.0
130,-33.6,-148.57920000000001,-86.39999999999999,-130.0,-177.26592000000002,-298.7,-1907.98848,-785.2,-1286.91456,-275.0
131,-33.6,-145.53000000000003,-86.39999999999999,-130.0,-173.62800000000001,-298.7,-1868.832,-785.2,-1260.504,-275.0
132,-33.6,-144.0516,-86.39999999999999,-130.0,-171.86416,-298.7,-1849.8470399999999,-785.2,-1247.69888,-275.0
133,-33.6,-143.58960000000002,-86.39999999999999,-130.0,-171.31296000000003,-298.7,-1843.9142400000003,-785.2,-1243.69728,-275.0
134,-33.6,-143.58960000000002,-86.39999999999999,-130.0,-171.31296000000003,-298.7,-1843.9142400000003,-785.2,-1243.69728,-275.0
135,-33.6,-145.53000000000003,-86.39999999999999,-130.0,-173.62800000000001,-298.7,-1868.832,-785.2,-1260.504,-275.0
