,PL battery large electricity,PL biogas,PL biogas substrate,PL biomass wood,PL electricity,PL hard coal,PL hydro PSH electricity,PL lignite,PL natural gas,PL other fuel
17,-4.255813390585672e-06,-9.506493370281532e-10,-6.600657798117027e-10,-1.4995293895481154e-09,-1.0872811799345072e-05,-1.9404978957027197e-08,-1.2759604999246221e-06,-1.720036379992962e-08,-9.244104148820043e-09,4.853291102335788e-10
18,-4.255861171031938e-06,-9.506493370281532e-10,-6.600657798117027e-10,-1.4995293895481154e-09,-1.1010911521225353e-05,-1.9435901776887476e-08,-1.2756152045767521e-06,-1.754233380779624e-08,-9.262294042855501e-09,4.853291102335788e-10
19,-4.256687176962259e-06,-9.506493370281532e-10,-6.600657798117027e-10,-1.4995293895481154e-09,-1.1152121714985697e-05,-1.9384970073588192e-08,-1.2756538581015775e-06,-1.760781742632389e-08,-9.231371222995222e-09,4.853291102335788e-10
20,-4.25749686172594e-06,-9.506493370281532e-10,-6.600657798117027e-10,-1.4995293895481154e-09,-1.1007140756191802e-05,-1.9226717995479703e-08,-1.2759479659507633e-06,-1.750231604091823e-08,-9.134510037256405e-09,4.853291102335788e-10
21,-4.259188585820084e-06,-9.506493370281532e-10,-6.600657798117027e-10,-1.4906618162058294e-09,-1.0876735586862196e-05,-1.8759237718768418e-08,-1.2764854773195111e-06,-1.7003912944346666e-08,-8.851657185005024e-09,4.853291102335788e-10
22,-4.260236405428941e-06,-9.109726306633092e-10,-6.326672519207932e-10,-1.416765371686779e-09,-1.0846675650100224e-05,-1.7995262169279158e-08,-1.2769509396548528e-06,-1.4213583199307323e-08,-8.38781488710083e-09,4.853291102335788e-10
23,-4.260717002324554e-06,-8.500933290633839e-10,-5.90375748288352e-10,-1.345370037597604e-09,-1.0835620514626498e-05,-1.7251295503228903e-08,-1.27728640109126e-06,-1.1737938621081412e-08,-7.936705515021458e-09,4.853291102335788e-10
24,-4.260909772568766e-06,-7.747189556539524e-10,-5.380229595175479e-10,-1.2566943041747436e-09,-1.0830914106918499e-05,-1.633452484384179e-08,-1.2773886908235e-06,-1.04919308796525e-08,-7.379185262834653e-09,4.853291102335788e-10
25,-4.261083706325053e-06,-7.826770342944656e-10,-5.43593614565907e-10,-1.2662439985433593e-09,-1.0825259778357577e-05,-1.643093128222972e-08,-1.27747500755504e-06,-9.125869837589562e-09,-7.438302418449894e-09,4.853291102335788e-10
26,-4.261056911758487e-06,-7.869402907090262e-10,-5.465494723466691e-10,-1.2710188457276672e-09,-1.082337598745653e-05,-1.6481862985529006e-08,-1.2775187485658535e-06,-8.714778232388198e-09,-7.470134733011946e-09,4.853291102335788e-10
27,-4.260991335769404e-06,-8.042206900427118e-10,-5.585434337262996e-10,-1.2912551028421149e-09,-1.0821310524988803e-05,-1.6692865756340325e-08,-1.2775675770626549e-06,-8.28367774374783e-09,-7.598373485961929e-09,4.853291102335788e-10
28,-4.260791666155228e-06,-8.446363608527463e-10,-5.866240826435387e-10,-1.3392309483606368e-09,-1.0820951501955278e-05,-1.7187630874104798e-08,-1.2775811626397626e-06,-8.175447874236852e-09,-7.89668774814345e-09,4.853291102335788e-10
29,-4.260480540807521e-06,-9.506493370281532e-10,-6.600657798117027e-10,-1.4651959645561874e-09,-1.0821624982781941e-05,-1.849548425525427e-08,-1.2775697086908622e-06,-8.243659976869822e-09,-8.691586117492989e-09,4.853291102335788e-10
30,-4.2593771496513e-06,-9.506493370281532e-10,-6.600657798117027e-10,-1.4995293895481154e-09,-1.0840395816558157e-05,-1.9072103896178305e-08,-1.2769694137659826e-06,-1.263833837583661e-08,-9.040832082973793e-09,4.853291102335788e-10
31,-4.258084643993243e-06,-9.506493370281532e-10,-6.600657798117027e-10,-1.4995293895481154e-09,-1.086807560568559e-05,-1.8879291019402444e-08,-1.2764953396526835e-06,-1.6534613678231835e-08,-8.923962013795972e-09,4.853291102335788e-10
