,PL biogas substrate supply 2023,PL biomass wood supply 2023,PL electricity final use 2023,PL hard coal supply 2023,PL hydro ROR 2023,PL lignite supply 2023,PL natural gas supply 2023,PL other fuel supply 2023,PL solar PV ground 2023,PL solar PV ground new,PL solar PV roof 2023,PL wind onshore 2023,PL wind onshore new,PL wind onshore old 2023
407,153.65853658496638,1855.999999999394,15218.630137,13870.614233172813,276.0,22244.696969679,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,73.68288488965857,209.103448941,129.75003524888385
408,153.65853658496638,1855.999999999394,14584.5205479,13120.220186350132,276.0,22029.529002076557,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,77.18128632696258,219.031504894,135.93313481297602
409,153.65853658496638,1855.999999999394,14232.2374429,13120.220186350132,276.0,20902.591192403997,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,80.67875074553581,228.956901653,142.1166458889514
410,153.65853658496638,1855.999999999394,14091.3242009,13120.220186350132,276.0,20356.78382178196,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,87.67086847951023,248.799717587,154.4849025259255
411,153.65853658496638,1855.999999999394,14214.6232877,13120.220186350132,276.0,20492.938133842392,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,101.64385953476739,288.453439122,179.2263537408767
412,153.65853658496638,1855.999999999394,14267.4657534,13120.220186350132,276.0,20119.302994607053,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,133.02827289768754,377.518749698,234.91869144078842
413,153.65853658496638,1855.999999999394,15782.283105,13422.17418707424,276.0,22244.696969679,2052.666666663383,808.82352941225,43.51060965477656,10.6576885028,51.4116407601,192.10285800035183,545.165543254,340.20626975662793
414,153.65853658496638,1855.999999999394,17807.9109589,14231.452550912802,276.0,22244.696969679,2052.666666663383,808.82352941225,398.4147459695919,97.5895360485,526.913178088,216.34897626635677,613.973203559,383.59454405961844
415,153.65853658496638,1855.999999999394,19093.7442922,13120.220186350132,276.0,19481.78056454147,2052.666666663383,808.82352941225,1362.6537195414635,333.774654429,1766.56235133,412.07250283537815,1169.41378104,737.6496304814614
416,153.65853658496638,1855.999999999394,19745.4680365,13120.220186350132,276.0,9290.514134386936,2052.666666663383,808.82352941225,1961.3894798005872,480.431738709,2478.53156329,860.203248594546,2441.15665507,1575.2555614138034
417,153.65853658496638,918.5000026861882,19939.2237443,13120.220189004385,276.0,5561.17424597229,2052.666666663383,808.82352941225,2208.05075256,540.850082469,3002.25863918,1335.5995915599997,3790.27611736,1481.0004911435208
418,153.65853658496638,918.5000026852624,20273.8926941,13120.220189002976,276.0,5561.174245969445,2052.666666663383,808.82352941225,2239.71038505,548.604938114,3226.15410214,1712.0474039600003,4858.59117362,435.01238483379854
