,PL solar PV ground 2023,PL solar PV roof 2023,PL wind onshore 2023,PL wind onshore old 2023
473,0.06733443145081183,0.05431279274779125,0.07433568774410428,0.06304007707784925
474,0.009743315919659974,0.0075766181698540104,0.08000005384024991,0.06790060086825153
475,0.0,0.0,0.10370652002475625,0.0883324086516267
476,0.0,0.0,0.11719224230959338,0.1000204979234812
477,0.0,0.0,0.11943556159197365,0.10196941576949212
478,0.0,0.0,0.10370652002475625,0.0883324086516267
479,0.0,0.0,0.08565673940349212,0.07276273710038324
480,0.0,0.0,0.07206779075643306,0.061096319045372584
481,0.0,0.0,0.06184704685676384,0.052352600533851934
482,0.0,0.0,0.05615810305532728,0.047497236556983916
483,0.0,0.0,0.05615810305532728,0.047497236556983916
484,0.0,0.0,0.055019392631091554,0.04652635725461784
485,0.0038967041034268014,0.002751985181422776,0.05274105011867169,0.04458479214289324
486,0.021442139932061007,0.021422008751194467,0.04818067843803833,0.04070243589147417
487,0.08200502021437546,0.07556667782066881,0.06184704685676384,0.052352600533851934
488,0.16044521069182435,0.12885836994716293,0.09243462377595028,0.0785994290020242
489,0.23823057643811837,0.18934983149878792,0.1283965498688493,0.10976766706030289
490,0.30742474399196,0.24294816736733407,0.17843574750678168,0.15370974404160845
491,0.3262498617574253,0.25518320088928886,0.22239275805862252,0.192879014062594
492,0.34906320835395377,0.27441570562403045,0.24961627233416192,0.2174122121819172
493,0.34807075331025467,0.26285933475537765,0.26153378879480427,0.22821958989291669
494,0.3361653375047073,0.24066050843253453,0.24744545728238995,0.21544807288598025
495,0.3004938931275425,0.20658852401097488,0.21364068027671984,0.18503690435674208
496,0.2480999009063089,0.1677836686722589,0.16515279129059476,0.14197908630809633
497,0.12118363115728736,0.08126856637646013,0.08565673940349212,0.07276273710038324
498,0.012667321875268395,0.00826675108206537,0.03675824374432536,0.031001060099768957
499,0.0,0.0,0.03675824374432536,0.031001060099768957
500,0.0,0.0,0.059572391000137614,0.05041026145009719
501,0.0,0.0,0.09356319589675349,0.07957243672747315
502,0.0,0.0,0.12279823635567305,0.10489327627102732
503,0.0,0.0,0.1418011657262263,0.12147278371682044
