,PL battery large electricity,PL biogas,PL biogas substrate,PL biomass wood,PL hard coal,PL hydro PSH electricity,PL lignite,PL natural gas,PL other fuel,PL electricity
339,570.6361238719294,202.09999999992175,180.00000000010957,120.00000000032875,249.2,573.6362730023799,185.9999999997808,285.9999999996712,211.60000000021915,583.6362502452126
340,520.7168042146159,202.09999999992175,180.00000000010957,120.00000000032875,249.2,554.3083349510262,185.9999999997808,285.9999999996712,211.60000000021915,485.0001166749674
341,503.86509683916773,202.09999999992175,180.00000000010957,120.00000000032875,249.2,532.4856920382294,185.9999999997808,285.9999999996712,211.60000000021915,485.0001799591581
342,486.44440717809204,202.09999999992175,180.00000000010957,120.00000000032875,249.2,503.18879117714465,185.9999999997808,285.9999999996712,211.60000000021915,485.000245083597
343,15.546749780703681,202.09999999992175,180.00000000010957,120.00000000032875,249.2,24.285790334471145,185.9999999997808,285.9999999996712,211.60000000021915,17.000182281564264
344,11.326822379270762,202.09999999992175,180.00000000010957,120.00000000032875,249.2,24.285557882791828,185.9999999997808,285.9999999996712,211.60000000021915,16.9998840171448
345,6.744096148608951,202.09999999992175,180.00000000010957,120.00000000032875,249.2,24.285506218945898,185.9999999997808,285.9999999996712,211.60000000021915,13.000045006296885
346,0.0015348868611043966,202.09999999992175,180.00000000010957,120.00000000032875,249.2,24.285490352381892,185.9999999997808,285.9999999996712,211.60000000021915,0.0
347,0.0013579909578917563,202.09999999992175,180.00000000010957,120.00000000032875,249.2,24.285484131092396,185.9999999997808,285.9999999996712,211.60000000021915,0.0
348,0.0013261970201312637,202.09999999992175,180.00000000010957,120.00000000032875,249.2,24.28548361844535,185.9999999997808,285.9999999996712,211.60000000021915,0.0
349,0.0013764282799800327,202.09999999992175,180.00000000010957,120.00000000032875,249.2,24.285488272897158,185.9999999997808,285.9999999996712,211.60000000021915,0.0
350,0.0015623129609982564,202.09999999992175,180.00000000010957,120.00000000032875,249.2,24.285500470018917,185.9999999997808,285.9999999996712,211.60000000021915,0.0
351,9.999070792443483,202.09999999992175,180.00000000010957,120.00000000032875,249.2,24.28553184670437,185.9999999997808,285.9999999996712,211.60000000021915,16.999796350167422
352,14.982905051537307,202.09999999992175,180.00000000010957,120.00000000032875,249.2,24.285682095637537,185.9999999997808,285.9999999996712,211.60000000021915,17.000057434398116
353,576.277061540211,202.09999999992175,180.00000000010957,120.00000000032875,249.2,578.8799727453338,185.9999999997808,285.9999999996712,211.60000000021915,583.6363120133503
354,582.613645884239,202.09999999992175,180.00000000010957,120.00000000032875,249.2,585.4864263158104,185.9999999997808,285.9999999996712,211.60000000021915,583.6363789734185
355,586.5348955812974,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5347728384179,185.9999999997808,285.9999999996712,211.60000000021915,599.5347165586237
356,586.5352988273553,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5348612999128,185.9999999997808,285.9999999996712,211.60000000021915,599.5342218941041
357,586.5354131212864,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5349317117691,185.9999999997808,285.9999999996712,211.60000000021915,583.6363921020541
358,586.5355235320346,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5350006295946,185.9999999997808,285.9999999996712,211.60000000021915,583.6363599322153
359,586.5356313032044,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5350682640275,185.9999999997808,285.9999999996712,211.60000000021915,583.6363364860847
360,586.5357373184266,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5351347953687,185.9999999997808,285.9999999996712,211.60000000021915,583.6363124155719
361,586.5358423553853,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5352004570448,185.9999999997808,285.9999999996712,211.60000000021915,583.6363033982063
362,586.5359470478975,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5352654224353,185.9999999997808,285.9999999996712,211.60000000021915,583.6363148885009
363,586.5360517862047,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5353298029613,185.9999999997808,285.9999999996712,211.60000000021915,583.6363289375842
364,586.536156758092,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5353936932789,185.9999999997808,285.9999999996712,211.60000000021915,583.6363432830555
365,586.5362620249041,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.535457148303,185.9999999997808,285.9999999996712,211.60000000021915,583.6363865790631
366,586.5363676212348,202.09999999992175,180.00000000010957,120.00000000032875,249.2,589.5355202226784,185.9999999997808,285.9999999996712,211.60000000021915,599.5348315682029
