,PL battery large electricity,PL biogas,PL biogas substrate,PL biomass wood,PL electricity,PL hard coal,PL hydro PSH electricity,PL lignite,PL natural gas,PL other fuel
11,3.726671337744847e-06,-9.532641342957504e-10,-6.621121428906918e-10,-1.6996182239381596e-09,9.866645541478647e-06,-1.8333594198338687e-08,1.016155465549673e-06,-4.4919943320564926e-09,-9.091763786273077e-09,4.853291102335788e-10
12,2.838451692355193e-06,-9.532641342957504e-10,-6.621121428906918e-10,-1.6996182239381596e-09,-3.137996259283682e-06,-1.824446371756494e-08,-1.8003984277357515e-07,-4.4919943320564926e-09,-9.033101378008723e-09,4.853291102335788e-10
13,4.0723704809231915e-05,-9.532641342957504e-10,-6.621121428906918e-10,-1.6996182239381596e-09,-6.134423023308908e-05,-1.8173523130826652e-08,1.1941895669786856e-05,-5.043148121330887e-09,-8.990355127025396e-09,4.853291102335788e-10
14,1.957311489006984e-05,-9.532641342957504e-10,-6.621121428906918e-10,-1.6996182239381596e-09,-4.0178521638444835e-05,-1.8211721908301115e-08,1.1942856593348999e-05,-7.777998689562082e-09,-9.014001989271492e-09,4.853291102335788e-10
15,1.379250056334283e-05,-9.532641342957504e-10,-6.621121428906918e-10,-1.6996182239381596e-09,-3.4384883001261466e-05,-1.8268110579811037e-08,1.1942963336393442e-05,-1.0855728760361671e-08,-9.049472282640636e-09,4.853291102335788e-10
16,1.0800470368087841e-05,-9.532641342957504e-10,-6.621121428906918e-10,-1.6996182239381596e-09,-3.1381301197235586e-05,-1.8435457604937255e-08,1.1943103680051809e-05,-1.5015757526271045e-08,-9.159066394204274e-09,4.853291102335788e-10
17,-2.384909862485074e-06,-9.532641342957504e-10,-6.621121428906918e-10,-1.6996182239381596e-09,1.5169730363320063e-05,-1.77788024302572e-08,5.684341886080802e-14,-1.796797732822597e-08,-9.244104148820043e-09,4.853291102335788e-10
18,-2.3849574830592246e-06,-9.532641342957504e-10,-6.621121428906918e-10,-1.6993908502627164e-09,1.5169670853560775e-05,-1.6496414900757372e-08,0.0,-1.796797732822597e-08,-9.262294042855501e-09,4.853291102335788e-10
19,-2.3849751045190715e-06,-9.532641342957504e-10,-6.621121428906918e-10,-1.6998455976136029e-09,1.5169676230166984e-05,-1.617263478692621e-08,0.0,-1.796797732822597e-08,-9.231371222995222e-09,4.853291102335788e-10
20,-2.3849855352864324e-06,-9.532641342957504e-10,-6.621121428906918e-10,-1.6996182239381596e-09,1.5169741697127208e-05,-1.6705598682165146e-08,0.0,-1.796797732822597e-08,-9.134510037256405e-09,4.853291102335788e-10
21,-2.38499239912926e-06,-9.532641342957504e-10,-6.621121428906918e-10,-1.6998455976136029e-09,1.5169854887779109e-05,-1.7280399333685637e-08,0.0,-1.796797732822597e-08,-8.851657185005024e-09,4.853291102335788e-10
22,8.882761689779975e-06,-8.996039468911476e-10,-6.247091732802801e-10,-1.6996182239381596e-09,-2.946588903064579e-05,-1.7240381566807628e-08,1.1949770336162433e-05,-1.790613168850541e-08,-8.38781488710083e-09,4.853291102335788e-10
23,8.875875672984088e-06,-8.39690983411856e-10,-5.830997906741686e-10,-1.6996182239381596e-09,-2.944567015707002e-05,-1.653643266763538e-08,1.194326486431664e-05,-1.5059413271956146e-08,-7.936705515021458e-09,4.853291102335788e-10
24,8.875848236154261e-06,-7.657945388928056e-10,-5.31770183442859e-10,-1.6996182239381596e-09,-2.944553387879282e-05,-1.5670593711547554e-08,1.1943235717467762e-05,-1.3546014088205993e-08,-7.379185262834653e-09,4.853291102335788e-10
