,PL battery large storage 2023,PL hydro PSH storage 2023
69,-0.0001463167555442865,-9.339425069281428e-05
70,-7.824540990745846e-05,-5.693737435393366e-05
71,-5.5943404355771444e-05,-4.124923940825682e-05
72,-4.366662046859809e-05,-3.202093035255802e-05
73,-3.545418481754059e-05,-2.5638347977950085e-05
74,-2.9366476859246822e-05,-2.0793114162592102e-05
75,-27.341152135356875,-32.5413603524182
76,-31.66624416170681,-84.99138758126725
77,-27.19957929068004,-311.28546309085584
78,-24.166811198197035,-415.8317830545561
79,-21.653113814199124,-363.2769177632677
80,-20.554895699712013,-507.3323086123714
81,-19.53554131086775,-593.9608150156399
82,-19.17379023754588,-998.1693549353511
83,-139.9999799297635,-1129.9999831298808
84,-139.9999799300046,-1129.9999831298874
85,-22.08709574946586,-957.8039769747098
86,-24.9619303896841,-931.6845289224863
87,-31.1921519304441,-724.5945517999577
88,-50.467179379365234,-288.52714662789657
89,-7.825149269478134e-05,-6.034742465565448e-05
90,82.9560392264577,56.711789713154886
91,112.14423944973768,472.5510234458295
92,111.7325745526532,418.98604511388874
93,108.30906316508005,127.5202825311124
94,100.40116584569768,58.124029549421984
95,84.45691549145057,29.127972716955405
96,-49.165137569570845,-17.405564211119323
97,-113.40912587078596,-169.06103128361593
98,-111.68886855349622,-327.2510862782074
99,-109.79490158488994,-311.4253365922263
100,-108.94125860568454,-251.60029107357136
101,-107.0007050317554,-86.2778321759022
102,7.29720839699338e-05,7.041075398396416e-05
103,3.468334669054984e-05,3.518040517225675e-05
104,2.5078524565971707e-05,2.6122833861958708e-05
105,2.0252469292106594e-05,2.16075307742017e-05
106,1.7220086332936867e-05,1.8786804622064742e-05
107,1.5085716902329678e-05,1.6810805185753057e-05
108,1.3474754470265316e-05,1.5327767833592753e-05
109,1.2200704594074734e-05,1.4161503505642293e-05
110,1.1158129446936396e-05,1.3212995157414124e-05
111,1.0282935712299006e-05,1.242191169745319e-05
112,9.53335499168464e-06,1.1749004360191162e-05
113,105.40802521080838,151.39041300368257
114,110.45403210731502,1164.2394929255777
115,110.47062983751508,1435.708024927292
116,110.05458274751679,1033.0372893563933
117,36.46091067452187,21.291902762156063
118,8.880198134415514e-06,1.1166526827199061e-05
119,8.880894287298683e-06,1.1166402747799149e-05
120,8.881702879100651e-06,1.1166371003807761e-05
