,PL biogas substrate supply 2023,PL biomass wood supply 2023,PL electricity final use 2023,PL hard coal supply 2023,PL hydro ROR 2023,PL lignite supply 2023,PL natural gas supply 2023,PL other fuel supply 2023,PL solar PV ground 2023,PL solar PV roof 2023,PL wind onshore 2023,PL wind onshore old 2023
261,345.1997831969345,2672.3039999985776,17702.2260274,16051.096630791646,276.0,11564.684177406427,3346.517333327979,808.82352941225,-0.0,-0.0,1811.4588708865415,3496.4883325218584
262,325.28563685552285,2615.2799999986346,16257.8652968,15714.904630791982,276.0,7274.633837947542,3211.4633333281954,808.82352941225,-0.0,-0.0,1892.0505433178957,3669.52050299104
263,317.91002709944445,1656.6600030637007,15112.9452055,15590.389078261192,276.0,5561.174246466833,3161.4433333282755,808.82352941225,-0.0,-0.0,1948.35372265,3681.4155935134713
264,325.28563685552285,1677.7800030636702,14408.3789954,15714.904633816619,276.0,5561.174246466824,3211.4633333281954,808.82352941225,-0.0,-0.0,1989.62382248,3428.740403300169
265,325.28563685552285,1677.7800030636697,14161.7808219,15714.904633816619,276.0,5561.174246466822,3211.4633333281954,808.82352941225,-0.0,-0.0,2010.19000106,3314.3345181311834
266,335.1197831969607,1705.9400030636411,14020.8675799,15880.925374557193,276.0,5561.174246466822,3278.1566666614217,808.82352941225,-0.0,-0.0,2033.63798364,3434.9482030287472
267,357.49246612373184,1770.0040030635757,13809.4977169,16258.622559741998,276.0,5561.174246466822,3429.8839999945126,808.82352941225,-0.0,-0.0,2042.4155162,2875.232781044979
268,397.0749051480192,1883.3480030634623,14020.8675799,16926.85604122281,276.0,5561.174246466822,3698.32466666075,808.82352941225,18.645232879000005,14.6770414267,2004.31863516,2730.7768875132333
269,416.9890514894308,1940.3720030634092,16081.7237443,17263.04804122248,276.0,5561.174246466826,3833.378666660534,808.82352941225,167.91428718300003,184.152948285,1945.39883069,3454.561757735008
270,414.5305149040713,1933.3319999983792,18213.0365297,17221.54285611886,276.0,5561.174246608091,3816.705333327227,808.82352941225,654.354784288,730.463491962,1974.90558418,3849.27812457
271,406.90905148945706,1911.5080030634558,19234.6575342,17092.876781963398,276.0,5561.174246466842,3765.0179999939764,808.82352941225,1356.3535552299998,1585.6611962,2016.05761885,3892.8697672743424
272,399.5334417333786,1890.388003063457,19551.7123288,16968.361226407957,276.0,5561.174246466822,3714.997999994056,808.82352941225,1942.4169551400005,2381.42702625,2010.19000106,3328.4791499616913
273,397.0749051480192,1883.3480030634619,19516.4840183,16926.85604122281,276.0,5561.174246466821,3698.32466666075,808.82352941225,2398.1086316100004,3027.04952155,1974.90558418,2648.451766724466
274,397.0749051480192,1883.3480030634619,19798.3105023,16926.85604122281,276.0,5561.174246466821,3698.32466666075,808.82352941225,2715.57023835,3493.7770595,1921.7259621,2450.105388069248
275,399.5334417333786,1890.388003063455,19763.0821918,16968.361226407957,276.0,5561.174246466821,3714.997999994056,808.82352941225,2690.14287279,3468.58301777,1871.22199854,2512.6465440364204
276,401.99197831873806,1897.4280030634482,19710.239726,17009.8664115931,276.0,5561.174246466822,3731.671333327363,808.82352941225,2677.43117503,3409.88091194,1820.44723474,2590.306363325999
277,409.61344173335243,1919.2520030634269,19481.2557078,17138.53248566705,276.0,5561.174246466822,3783.3586666606134,808.82352941225,2537.6898407000003,3184.55999267,1763.37850677,2556.274872238158
